Line,Model,Part No,SAP No,Planned Output,Updated At
ASSEMBLY,42tc,TC-4210TSR,40013722,60,
ASSEMBLY,42tc,TC-4210TBLK,40013812,60,
ASSEMBLY,42tc,TC-4210TGRY,40013814,60,
ASSEMBLY,42tc,TC-4210TBLU,40013816,60,
Paint,42tc,P002912,30023171,60,
Paint,42tc,U000461,30023205,60,
Paint,42tc,U000462,30023208,60,
Paint,42tc,U000463,30023210,60,
Paint,42tc,U000464,30023212,60,
Paint,42tc,U000465,30023214,60,
Paint,42tc,U000466,30023216,60,
Paint,42tc,U000467,30023218,60,
Paint,42tc,U000468,30023220,60,
Paint,42tc,U000469,30023222,60,
spot,42tc,U000461,30023206,60,
spot,42tc,U000461,30023207,60,
spot,42tc,U000470,30023224,60,
spot,42tc,U000471,30023225,60,
spot,42tc,U000472,30023226,60,
spot,42tc,U000472,30023227,60,
spot,42tc,U000473,30023228,60,
spot,42tc,U000474,30023229,60,
spot,42tc,U000475,30023230,60,
spot,42tc,U000475,30023231,60,
spot,42tc,P002626,30023148,60,
spot,42tc,U000462,30023209,60,
spot,42tc,U000463,30023211,60,
spot,42tc,U000464,30023213,60,
spot,42tc,U000465,30023215,60,
spot,42tc,U000466,30023217,60,
spot,42tc,U000467,30023219,60,
spot,42tc,U000468,30023221,60,
spot,42tc,U000469,30023223,60,
Bend,42tc,P002745,30023039,60,
Bend,42tc,P002622,30023050,60,
Bend,42tc,P002626,30023051,60,
Bend,42tc,P002751,30023080,60,
Bend,42tc,P002886,30023099,60,
Bend,42tc,P002920,30023110,60,
Bend,42tc,P002922,30023112,60,
Bend,42tc,P002927,30023114,60,
Bend,42tc,P002928,30023116,60,
Bend,42tc,P002930,30023118,60,
Bend,42tc,P002931,30023120,60,
Bend,42tc,P002624,30023146,60,
Bend,42tc,P002625,30023147,60,
Bend,42tc,P002632,30023149,60,
Bend,42tc,P002634,30023151,60,
Bend,42tc,P002636,30023153,60,
Bend,42tc,P002898,30023157,60,
Bend,42tc,P002900,30023158,60,
Bend,42tc,P002902,30023160,60,
Bend,42tc,P002903,30023161,60,
Bend,42tc,P002905,30023163,60,
Bend,42tc,P002907,30023164,60,
Bend,42tc,P002909,30023166,60,
Bend,42tc,P002911,30023168,60,
Bend,42tc,P002912,30023170,60,
Bend,42tc,P002913,30023172,60,
Bend,42tc,P002914,30023173,60,
Bend,42tc,P002915,30023175,60,
Bend,42tc,P002916,30023177,60,
Bend,42tc,P002918,30023178,60,
Bend,42tc,P002919,30023180,60,
Bend,42tc,P002921,30023181,60,
Bend,42tc,P002923,30023182,60,
Bend,42tc,P002924,30023183,60,
Bend,42tc,P002925,30023185,60,
Bend,42tc,P002926,30023187,60,
Bend,42tc,P002929,30023189,60,
Bend,42tc,P002932,30023191,60,
Bend,42tc,P002933,30023192,60,
Bend,42tc,P002934,30023194,60,
Bend,42tc,P003222,30023197,60,
Bend,42tc,P003223,30023199,60,
Bend,42tc,P003224,30023201,60,
Bend,42tc,P003301,30023203,60,
Bend,42tc,P003217,30023196,60,
Press,42tc,P002903,30023162,60,
Press,42tc,P002907,30023165,60,
Press,42tc,P002909,30023167,60,
Press,42tc,P002911,30023169,60,
Press,42tc,P002914,30023174,60,
Press,42tc,P002924,30023184,60,
Press,42tc,P002927,30023188,60,
Press,42tc,P002933,30023193,60,
Press,42tc,P003301,30023204,60,
Press,42tc,P002745,30023040,60,
Press,42tc,P002626,30023052,60,
Press,42tc,P002751,30023081,60,
Press,42tc,P002920,30023111,60,
Press,42tc,P002922,30023113,60,
Press,42tc,P002928,30023117,60,
Press,42tc,P002930,30023119,60,
Press,42tc,P002931,30023121,60,
Press,42tc,P002915,30023176,60,
Press,42tc,P002918,30023179,60,
Press,42tc,P002925,30023186,60,
Press,42tc,P002934,30023195,60,
Press,42tc,P003217,30023196,60,
Press,42tc,P002632,30023318,60,
Press,42tc,P002886,30023100,60,
Press,42tc,P002622,30023145,60,
Press,42tc,P002634,30023152,60,
Press,42tc,P002636,30023154,60,
Press,42tc,P002901,30023159,60,
Press,42tc,P003222,30023198,60,
Press,42tc,P003223,30023200,60,
Press,42tc,P003224,30023202,60,
Press,42tc,P002624,30023311,60,
ASSEMBLY,42ch,CH-4208HGR,40013721,60,
ASSEMBLY,42ch,CH-4208HGBLK,40013811,60,
ASSEMBLY,42ch,CH-4208HGGRY,40013813,60,
ASSEMBLY,42ch,CH-4208HGBLU,40013815,60,
Paint,42ch,U000456,30023125,60,
Paint,42ch,U000455,30023122,60,
Paint,42ch,U000457,30023127,60,
Paint,42ch,U000458,30023129,60,
Paint,42ch,U000459,30023131,60,
Paint,42ch,U000460,30023133,60,
Paint,42ch,P002887,30023101,60,
spot,42ch,U000455,30023124,60,
spot,42ch,U000455,30023123,60,
spot,42ch,P002885,30023098,60,
spot,42ch,U000456,30023126,60,
spot,42ch,P002589,30023077,60,
spot,42ch,P002590,30023079,60,
spot,42ch,U000478,30023138,60,
spot,42ch,U000479,30023139,60,
spot,42ch,U000479,30023140,60,
spot,42ch,U000480,30023141,60,
spot,42ch,U000476,30023135,60,
spot,42ch,U000477,30023136,60,
spot,42ch,U000477,30023137,60,
spot,42ch,U000481,30023142,60,
spot,42ch,U000481,30023143,60,
spot,42ch,U000482,30023144,60,
spot,42ch,U000457,30023128,60,
spot,42ch,U000458,30023130,60,
spot,42ch,U000459,30023132,60,
spot,42ch,U000460,30023134,60,
Bend,42ch,P002885,30023097,60,
Bend,42ch,P002886,30023099,60,
Bend,42ch,P002876,30023083,60,
Bend,42ch,P002572,30023072,60,
Bend,42ch,P002574,30023073,60,
Bend,42ch,P002877,30023084,60,
Bend,42ch,P002878,30023085,60,
Bend,42ch,P002874,30023082,60,
Bend,42ch,P002563,30023066,60,
Bend,42ch,P002879,30023086,60,
Bend,42ch,P002578,30023032,60,
Bend,42ch,P002881,30023090,60,
Bend,42ch,P002882,30023092,60,
Bend,42ch,P002883,30023094,60,
Bend,42ch,P002582,30023074,60,
Bend,42ch,P002880,30023088,60,
Bend,42ch,P002884,30023096,60,
Bend,42ch,P002745,30023039,60,
Bend,42ch,P002920,30023110,60,
Bend,42ch,P002889,30023102,60,
Bend,42ch,P002751,30023080,60,
Bend,42ch,P002922,30023112,60,
Bend,42ch,P002890,30023104,60,
Bend,42ch,P002927,30023114,60,
Bend,42ch,P002928,30023116,60,
Bend,42ch,P002891,30023106,60,
Bend,42ch,P002930,30023118,60,
Bend,42ch,P002931,30023120,60,
Bend,42ch,P002892,30023108,60,
Bend,42ch,P002565,30023068,60,
Bend,42ch,P002567,30023070,60,
Press,42ch,P002565,30023068,60,
Press,42ch,P002567,30023070,60,
Press,42ch,P002886,30023100,60,
Press,42ch,P002563,30023067,60,
Press,42ch,P002578,30023033,60,
Press,42ch,P002582,30023075,60,
Press,42ch,P002880,30023089,60,
Press,42ch,P002589,30023076,60,
Press,42ch,P002590,30023078,60,
Press,42ch,P002566,30023069,60,
Press,42ch,P002879,30023087,60,
Press,42ch,P002568,30023071,60,
Press,42ch,P002881,30023091,60,
Press,42ch,P002882,30023093,60,
Press,42ch,P002883,30023095,60,
Press,42ch,P002745,30023040,60,
Press,42ch,P002920,30023111,60,
Press,42ch,P002889,30023103,60,
Press,42ch,P002751,30023081,60,
Press,42ch,P002922,30023113,60,
Press,42ch,P002890,30023105,60,
Press,42ch,P002927,30023115,60,
Press,42ch,P002928,30023117,60,
Press,42ch,P002891,30023107,60,
Press,42ch,P002930,30023119,60,
Press,42ch,P002931,30023121,60,
Press,42ch,P002892,30023109,60,
Press,42ch,P002564,30023234,60,
ASSEMBLY,27tc,TC-2707,40012178,60,
Paint,27tc,U000433,30022112,60,
Paint,27tc,U000434,30022139,60,
Paint,27tc,U000435,30022147,60,
Paint,27tc,U000436,30022155,60,
spot,27tc,U000433,30022113,60,
spot,27tc,U000433,30022114,60,
spot,27tc,P002732,30022115,60,
spot,27tc,P002626,30023053,60,
spot,27tc,P002951,30023058,60,
